kode_bps,nama_bps,kode_pos,nama_pos
1810080010,ADI LUWIH,35773,Adi Luwih
1811030004,ADI MULYO,34996,Adi Mulyo
1507011007,ADI PURWA,36554,Adi Purwa
1804020004,ADI WARNO,34381,Adi Warno
1210070004,ADIAN NANGKA,22261,Adian Nangka
1223040010,ADIAN TOROP,21755,Adian Torop
1205040006,ADIANKOTING,22461,Adian Koting
3303141008,ADIARSA,53358,Adiarsa
3215113001,ADIARSA BARAT,41313,Adiarsa Barat
3215112001,ADIARSA TIMUR,41322,Adiarsa Timur
3209171001,ADIDHARMA,45643,Adidharma
9102010001,ADIJAYA,98676,Adi Jaya
3305120011,ADIKARSO,54319,Adikarso
3305150007,ADIKARTO,54363,Adikarto
3308070005,ADIKARTO,56586,Adikarto
1209200012,ADIL MAKMUR,21183,Adil Makmur
3305150011,ADILUHUR,54363,Adiluhur
3301020006,ADIMULYA,53265,Adimulya
3305150008,ADIMULYO,54363,Adimulyo
1213020026,ADIN TENGAH,20773,Adin Tengah
3325040008,ADINUSO,51273,Adinuso
3325090022,ADINUSO,51262,Adinuso
3301150012,ADIPALA,53271,Adipala
3304110004,ADIPASIR,53463,Adipasir
1505012005,ADIPURA KENCANA,36367,Adipura Kencana
1805050001,ADIPURO,34272,Adi Puro
3308140020,ADIPURO,56564,Adipuro
3301150009,ADIRAJA,53271,Adiraja
3301150011,ADIREJA KULON,53271,Adireja Kulon
3301150010,ADIREJA WETAN,53271,Adireja Wetan
1702040015,ADIREJO,39111,Adirejo
1804060010,ADIREJO,34384,Adirejo
1804100001,ADIREJO,34391,Adi Rejo
3316120003,ADIREJO,58252,Adirejo
3302050001,ADISANA,53172,Adisana
3329030007,ADISANA,52273,Adisana
3302030006,ADISARA,53174,Adisara
3305130006,ADITIRTO,54361,Aditirto
3305020003,ADIWARNO,54374,Adiwarno
3307060016,ADIWARNO,56361,Adiwarno
3328120012,ADIWERNA,52494,Adiwerna
8101051006,ADODO FORDATA,97479,Adodo Fordata
9409070005,ADOKI,98155,Adoki
7601020006,ADOLANG,91451,Adolang
7601020013,ADOLANG DUA,91451,Adolang
1218100010,ADOLINA,20986,Adolina
9106022003,ADONA,98466,Adona
5309074005,ADONARA,86265,Adonara
9101081016,ADORA,98658,Adora
7110040004,ADOW,95776,Adow
7110040003,ADOW SELATAN,95776,Adow Selatan
8201131004,ADU,97758,Adu
1609101007,ADU MANIS,32376,Adu manis
7208060028,AEDAN RAYA,94489,Aedan Raya
5311011004,AEJETI,86359,Aejeti
1203011033,AEK BADAK JAE,22774,Aek Badak Jae
1203011032,AEK BADAK JULU,22774,Aek Badak Julu
1208021004,AEK BAMBAN,21293,Aek Bamban
1208032001,AEK BANGE,21276,Aek Bange
1220020001,AEK BARGOT,22781,Aek Bargot
1221010009,AEK BARGOT,22762,Aek Bargot
1203110114,AEK BATANG PAYA,22742,Aek Batang Paya
1222020009,AEK BATU,21572,Aek Batu
1277030009,AEK BAYUR,22743,Aek Bayur
1206030005,AEK BOLON JAE,22319,Aek Bolon Jae
1206030004,AEK BOLON JULU,22319,Aek Bolon Julu
1221091019,AEK BONBAN,22796,Aek Bonban
1204031005,AEK BONTAR,22638,Aek Bottar
1221091025,AEK BUATON,22796,Aek Buaton
1207080006,AEK BURU SELATAN,21459,Aek Buru Selatan
1204070024,AEK DAKKA,22564,Aek Dakka
1204021004,AEK GAMBIR,22654,Aek Gambir
1220040096,AEK GAMBIR,22753,Aek Gambir
1215020001,AEK GODANG,22454,Aek Godang Arbaan
1222040004,AEK GOTI,21561,Aek Goti
1203010121,AEK GUNUNG,22772,Aek Gunung
1202020037,AEK GUO,22983,Aek Guo
1271030003,AEK HABIL,22533,Aek Habil
1220030057,AEK HARUAYA,22782,Aek Haruaya
1220070057,AEK HARUAYA,22756,Aek Haruaya
1223020018,AEK HITETORAS,21752,Aek Hitetoras
1202020047,AEK HOLBUNG,22983,Aek Holbung
1204011005,AEK HORSIK,22657,Aek Horsik
1220070022,AEK ILUNG,22756,Aek Ilung
1220080005,AEK JABUT,22785,Aek Jabut
1220040114,AEK JANGKANG,22753,Aek Jangkang
1203012013,AEK KAHOMBU,22775,Aek Kahombu
1220080037,AEK KANAN,22785,Aek Kanan
1223070006,AEK KANOPAN,21711,Aek Kanopan
1223070010,AEK KANOPAN TIMUR,21712,Aek Kanopan Timur
1208032004,AEK KORSIK,21276,Aek Korsik
1223030006,AEK KORSIK,21782,Aek Korsik
1223010011,AEK KOTA BATU,21754,Aek Kota Batu
1220080034,AEK KUNDUR,22785,Aek Kundur
1221040067,AEK LANCAT,22795,Aek Lancat
1203161093,AEK LATONG,22759,Aek Latong
1208032005,AEK LEDONG,21276,Aek Ledong
1203011038,AEK LIBUNG,22774,Aek Libung
1208031013,AEK LOBA,21275,Aek Loba
1208031010,AEK LOBA AFDELING I,21275,Aek Loba Afdeling I
1215040007,AEK LUNG,22457,Aek Lung
1271030006,AEK MANIS,22536,Aek Manis
1202021016,AEK MANYURUK,22984,Aek Manyuruk
1202080014,AEK MUAL,22976,Aek Mual
1271030008,AEK MUARA PINANG,22537,Aek Muara Pinang
1202020010,AEK NABARA,22983,Aek Nabara
