kode_bps,nama_bps,kode_pos,nama_pos
7415,BUTON SELATAN,93700,BUTON SELATAN
7414,BUTON TENGAH,93700,BUTON TENGAH
7409,BUTON UTARA,93700,BUTON
7409,BUTON UTARA,93700,BUTON UTARA
7409,BUTON UTARA,93700,KOTA BAU BAU
3207,CIAMIS,46200,CIAMIS
3203,CIANJUR,43200,CIANJUR
3301,CILACAP,53200,CILACAP
3672,CILEGON,42400,KOTA CILEGON
3277,CIMAHI,40500,KOTA CIMAHI
3209,CIREBON,45600,CIREBON
3274,CIREBON,45100,KOTA CIREBON
1473,D U M A I,28800,KOTA DUMAI
1210,DAIRI,22200,DAIRI
1210,DAIRI,22200,PAKPAK BHARAT
9436,DEIYAI,98700,DEIYAI
1212,DELI SERDANG,20300,DELI SERDANG
1212,DELI SERDANG,20500,DELI SERDANG
3321,DEMAK,59500,DEMAK
5171,DENPASAR,80100,KOTA DENPASAR
5171,DENPASAR,80200,KOTA DENPASAR
3276,DEPOK,16400,KOTA DEPOK
3276,DEPOK,16500,KOTA DEPOK
9434,DOGIYAI,98800,DOGIYAI
5205,DOMPU,84200,DOMPU
7205,DONGGALA,94300,DONGGALA
1611,EMPAT LAWANG,31800,EMPAT LAWANG
5311,ENDE,86300,ENDE
7316,ENREKANG,91700,ENREKANG
9101,FAKFAK,98600,FAK FAK
9101,FAKFAK,98600,KAIMANA
5309,FLORES TIMUR,86200,FLORES TIMUR
3205,GARUT,44100,GARUT
1113,GAYO LUES,24600,GAYO LUES
5104,GIANYAR,80500,GIANYAR
7502,GORONTALO,96200,GORONTALO
7571,GORONTALO,96100,KOTA GORONTALO
7505,GORONTALO UTARA,96600,GORONTALO UTARA
7306,GOWA,92100,GOWA
3525,GRESIK,61100,GRESIK
3315,GROBOGAN,58100,GROBOGAN
3403,GUNUNG KIDUL,55800,GUNUNG KIDUL
6211,GUNUNG MAS,74500,GUNUNG MAS
1278,GUNUNGSITOLI,22800,KOTA GUNUNGSITOLI
8201,HALMAHERA BARAT,97700,HALMAHERA BARAT
8204,HALMAHERA SELATAN,97900,HALMAHERA SELATAN
8202,HALMAHERA TENGAH,97800,HALMAHERA TENGAH
8206,HALMAHERA TIMUR,97800,HALMAHERA TIMUR
8205,HALMAHERA UTARA,97700,HALMAHERA UTARA
6306,HULU SUNGAI SELATAN,71200,HULU SUNGAI SELATAN
6307,HULU SUNGAI TENGAH,71300,HULU SUNGAI TENGAH
6308,HULU SUNGAI UTARA,71400,HULU SUNGAI UTARA
1215,HUMBANG HASUNDUTAN,22400,HUMBANG HASUNDUTAN
1215,HUMBANG HASUNDUTAN,22400,TAPANULI UTARA
1403,INDRAGIRI HILIR,29200,INDRAGIRI HILIR
1402,INDRAGIRI HULU,29300,INDRAGIRI HULU
3212,INDRAMAYU,45200,INDRAMAYU
9435,INTAN JAYA,98700,INTAN JAYA
3174,JAKARTA BARAT,11100,KOTA ADM. JAKARTA BARAT
3174,JAKARTA BARAT,11200,KOTA ADM. JAKARTA BARAT
3174,JAKARTA BARAT,11300,KOTA ADM. JAKARTA BARAT
3174,JAKARTA BARAT,11400,KOTA ADM. JAKARTA BARAT
3174,JAKARTA BARAT,11500,KOTA ADM. JAKARTA BARAT
3174,JAKARTA BARAT,11600,KOTA ADM. JAKARTA BARAT
3174,JAKARTA BARAT,11700,KOTA ADM. JAKARTA BARAT
3174,JAKARTA BARAT,11800,KOTA ADM. JAKARTA BARAT
3173,JAKARTA PUSAT,10100,KOTA ADM. JAKARTA PUSAT
3173,JAKARTA PUSAT,10200,KOTA ADM. JAKARTA PUSAT
3173,JAKARTA PUSAT,10300,KOTA ADM. JAKARTA PUSAT
3173,JAKARTA PUSAT,10400,KOTA ADM. JAKARTA PUSAT
3173,JAKARTA PUSAT,10500,KOTA ADM. JAKARTA PUSAT
3173,JAKARTA PUSAT,10600,KOTA ADM. JAKARTA PUSAT
3173,JAKARTA PUSAT,10700,KOTA ADM. JAKARTA PUSAT
3171,JAKARTA SELATAN,12100,KOTA ADM. JAKARTA SELATAN
3171,JAKARTA SELATAN,12200,KOTA ADM. JAKARTA SELATAN
3171,JAKARTA SELATAN,12300,KOTA ADM. JAKARTA SELATAN
3171,JAKARTA SELATAN,12400,KOTA ADM. JAKARTA SELATAN
3171,JAKARTA SELATAN,12500,KOTA ADM. JAKARTA SELATAN
3171,JAKARTA SELATAN,12600,KOTA ADM. JAKARTA SELATAN
3171,JAKARTA SELATAN,12700,KOTA ADM. JAKARTA SELATAN
3171,JAKARTA SELATAN,12800,KOTA ADM. JAKARTA SELATAN
3171,JAKARTA SELATAN,12900,KOTA ADM. JAKARTA SELATAN
3172,JAKARTA TIMUR,13100,KOTA ADM. JAKARTA TIMUR
3172,JAKARTA TIMUR,13200,KOTA ADM. JAKARTA TIMUR
3172,JAKARTA TIMUR,13300,KOTA ADM. JAKARTA TIMUR
3172,JAKARTA TIMUR,13400,KOTA ADM. JAKARTA TIMUR
3172,JAKARTA TIMUR,13500,KOTA ADM. JAKARTA TIMUR
3172,JAKARTA TIMUR,13600,KOTA ADM. JAKARTA TIMUR
3172,JAKARTA TIMUR,13700,KOTA ADM. JAKARTA TIMUR
3172,JAKARTA TIMUR,13800,KOTA ADM. JAKARTA TIMUR
3172,JAKARTA TIMUR,13900,KOTA ADM. JAKARTA TIMUR
3175,JAKARTA UTARA,14100,KOTA ADM. JAKARTA UTARA
3175,JAKARTA UTARA,14200,KOTA ADM. JAKARTA UTARA
3175,JAKARTA UTARA,14300,KOTA ADM. JAKARTA UTARA
3175,JAKARTA UTARA,14400,KOTA ADM. JAKARTA UTARA
1571,JAMBI,36100,KOTA JAMBI
1571,JAMBI,36200,KOTA JAMBI
9403,JAYAPURA,99300,JAYAPURA
9471,JAYAPURA,99100,KOTA JAYAPURA
9402,JAYAWIJAYA,99500,JAYAWIJAYA
9402,JAYAWIJAYA,99500,PEGUNUNGAN BINTANG
3509,JEMBER,68100,JEMBER
5101,JEMBRANA,82200,JEMBRANA
7304,JENEPONTO,92300,JENEPONTO
3320,JEPARA,59400,JEPARA
3517,JOMBANG,61400,JOMBANG
9102,KAIMANA,98600,KAIMANA
1406,KAMPAR,28400,KAMPAR
6203,KAPUAS,73500,KAPUAS
6108,KAPUAS HULU,78700,KAPUAS HULU
5107,KARANG ASEM,80800,KARANGASEM
3313,KARANGANYAR,57700,KARANGANYAR
3215,KARAWANG,41300,KARAWANG
2101,KARIMUN,29600,KARIMUN
1211,KARO,22100,KARO
6209,KATINGAN,74400,KATINGAN
1704,KAUR,38900,KAUR
6111,KAYONG UTARA,78800,KAYONG UTARA
3305,KEBUMEN,54300,KEBUMEN
3506,KEDIRI,64100,KEDIRI
3571,KEDIRI,64100,KOTA KEDIRI
9420,KEEROM,99400,KEEROM
9420,KEEROM,99400,TOLIKARA
3324,KENDAL,51300,KENDAL
7471,KENDARI,93100,KOTA KENDARI
7471,KENDARI,93200,KOTA KENDARI
1708,KEPAHIANG,39100,KEPAHIANG
1708,KEPAHIANG,39300,KEPAHIANG
2105,KEPULAUAN ANAMBAS,29900,KEPULAUAN ANAMBAS
8105,KEPULAUAN ARU,97600,KEPULAUAN ARU
1301,KEPULAUAN MENTAWAI,25700,KEPULAUAN MENTAWAI
7103,KEPULAUAN SANGIHE,95800,KEPULAUAN SANGIHE
7301,KEPULAUAN SELAYAR,92800,KEPULAUAN SELAYAR
3101,KEPULAUAN SERIBU,14500,ADM. KEP. SERIBU
8203,KEPULAUAN SULA,97900,KEPULAUAN SULA
7104,KEPULAUAN TALAUD,95800,KEPULAUAN TALAUD
9408,KEPULAUAN YAPEN,98200,KEPULAUAN YAPEN
1501,KERINCI,37100,KERINCI
6106,KETAPANG,78800,KETAPANG
3310,KLATEN,57400,KLATEN
5105,KLUNGKUNG,80700,KLUNGKUNG
7404,KOLAKA,93500,KOLAKA
7411,KOLAKA TIMUR,93500,KOLAKA TIMUR
