BPS code,Area Name,postal code
3172070,DUREN SAWIT,13460
3172070,DUREN SAWIT,13470
3172,JAKARTA TIMUR,13500
3172050,KRAMAT JATI,13510
3172050,KRAMAT JATI,13520
3172050,KRAMAT JATI,13530
3172050,KRAMAT JATI,13540
3172050,KRAMAT JATI,13550
3172040,MAKASAR,13560
3172040,MAKASAR,13570
3172,JAKARTA TIMUR,13600
3172040,MAKASAR,13610
3172040,MAKASAR,13620
3172050,KRAMAT JATI,13630
3172050,KRAMAT JATI,13640
3172040,MAKASAR,13650
3172,JAKARTA TIMUR,13700
3172010,PASAR REBO,13710
3172020,CIRACAS,13720
3172020,CIRACAS,13730
3172020,CIRACAS,13740
3172020,CIRACAS,13750
3172010,PASAR REBO,13760
3172010,PASAR REBO,13770
3172010,PASAR REBO,13780
3172010,PASAR REBO,13790
3172,JAKARTA TIMUR,13800
3172030,CIPAYUNG,13810
3172030,CIPAYUNG,13820
3172020,CIRACAS,13830
3172030,CIPAYUNG,13840
3172030,CIPAYUNG,13850
3172030,CIPAYUNG,13860
3172030,CIPAYUNG,13870
3172030,CIPAYUNG,13880
3172030,CIPAYUNG,13890
3172,JAKARTA TIMUR,13900
3172080,CAKUNG,13910
3172080,CAKUNG,13920
3172080,CAKUNG,13930
3172080,CAKUNG,13940
3172080,CAKUNG,13950
3172080,CAKUNG,13960
3175,JAKARTA UTARA,14100
3175060,CILINCING,14110
3175060,CILINCING,14120
3175060,CILINCING,14130
3175060,CILINCING,14140
3175060,CILINCING,14150
3175,JAKARTA UTARA,14200
3175040,KOJA,14210
3175040,KOJA,14230
3175050,KELAPA GADING,14240
3175050,KELAPA GADING,14250
3175040,KOJA,14260
3175040,KOJA,14270
3175,JAKARTA UTARA,14300
3175030,TANJUNG PRIOK,14310
3175030,TANJUNG PRIOK,14320
3175030,TANJUNG PRIOK,14330
3175030,TANJUNG PRIOK,14340
3175030,TANJUNG PRIOK,14350
3175,JAKARTA UTARA,14400
3175020,PADEMANGAN,14410
3175020,PADEMANGAN,14420
3175020,PADEMANGAN,14430
3175010,PENJARINGAN,14440
3175010,PENJARINGAN,14450
3175010,PENJARINGAN,14460
3175010,PENJARINGAN,14470
3101,KEPULAUAN SERIBU,14500
3101010,KEPULAUAN SERIBU SELATAN,14510
3101010,KEPULAUAN SERIBU SELATAN,14520
3101020,KEPULAUAN SERIBU UTARA,14530
3101020,KEPULAUAN SERIBU UTARA,14540
3101020,KEPULAUAN SERIBU UTARA,14550
3101010,KEPULAUAN SERIBU SELATAN,14580
3671,TANGERANG,15100
3671030,TANGERANG,15111
3671031,KARAWACI,15112
3671031,KARAWACI,15113
3671031,KARAWACI,15114
3671031,KARAWACI,15115
3671031,KARAWACI,15116
3671030,TANGERANG,15117
3671030,TANGERANG,15118
3671030,TANGERANG,15119
3671050,BATUCEPER,15121
3671050,BATUCEPER,15122
3671060,BENDA,15123
3671060,BENDA,15124
3671060,BENDA,15125
3671060,BENDA,15126
3671051,NEGLASARI,15127
3671051,NEGLASARI,15128
3671051,NEGLASARI,15129
3671042,PERIUK,15131
3671042,PERIUK,15132
3671040,JATI UWUNG,15133
3671042,PERIUK,15133
3671040,JATI UWUNG,15134
3671040,JATI UWUNG,15135
3671040,JATI UWUNG,15136
3671040,JATI UWUNG,15137
3671041,CIBODAS,15138
3671041,CIBODAS,15139
3671020,CIPONDOH,15141
3671021,PINANG,15142
3671021,PINANG,15143
3671021,PINANG,15144
3671021,PINANG,15145
3671020,CIPONDOH,15146
3671020,CIPONDOH,15147
3671020,CIPONDOH,15148
3671010,CILEDUG,15151
3671010,CILEDUG,15152
3671010,CILEDUG,15153
3671011,LARANGAN,15154
3671011,LARANGAN,15155
3671011,LARANGAN,15156
3671012,KARANG TENGAH,15157
3671012,KARANG TENGAH,15158
3671012,KARANG TENGAH,15159
3603,TANGERANG,15200
3603210,KOSAMBI,15211
3603210,KOSAMBI,15212
3603210,KOSAMBI,15213
3603210,KOSAMBI,15214
3603210,KOSAMBI,15215
3674,TANGERANG SELATAN,15300
3674020,SERPONG,15311
3674020,SERPONG,15316
3674020,SERPONG,15317
3674020,SERPONG,15318
3674070,SERPONG UTARA,15331
3674070,SERPONG UTARA,15332
3674070,SERPONG UTARA,15333
3674070,SERPONG UTARA,15334
3674070,SERPONG UTARA,15335
3674070,SERPONG UTARA,15336
3674070,SERPONG UTARA,15337
3674010,SETU,15341
3674010,SETU,15342
3674010,SETU,15343
3674010,SETU,15344
3674010,SETU,15345
3674010,SETU,15346
3674,TANGERANG SELATAN,15400
3674040,CIPUTAT,15411
3674040,CIPUTAT,15413
3674040,CIPUTAT,15414
